kaynak_satir,len,supp,dose,tahmin,artik,kaldirac,cook
44,26.4,OJ,1.0,19.361428571428586,7.038571428571412,0.035714285714285726,0.028533200774421123
45,20.0,OJ,1.0,19.361428571428586,0.6385714285714137,0.035714285714285726,0.000234855326308289
46,25.2,OJ,1.0,19.361428571428586,5.838571428571413,0.035714285714285726,0.019633360599413355
47,25.8,OJ,1.0,19.361428571428586,6.438571428571414,0.035714285714285726,0.02387594027902379
48,21.2,OJ,1.0,19.361428571428586,1.838571428571413,0.035714285714285726,0.0019468946943428272
49,14.5,OJ,1.0,19.361428571428586,-4.861428571428586,0.035714285714285726,0.013611602753022088
50,27.3,OJ,1.0,19.361428571428586,7.938571428571414,0.035714285714285726,0.03629661804711763
51,25.5,OJ,2.0,27.172857142857154,-1.6728571428571541,0.09285714285714289,0.004735137568754197
52,26.4,OJ,2.0,27.172857142857154,-0.7728571428571556,0.09285714285714289,0.0010106792305368448
53,22.4,OJ,2.0,27.172857142857154,-4.772857142857156,0.09285714285714289,0.038545329461481044
54,24.5,OJ,2.0,27.172857142857154,-2.672857142857154,0.09285714285714289,0.012088332185094504
55,24.8,OJ,2.0,27.172857142857154,-2.3728571428571534,0.09285714285714289,0.009527041910448153
56,30.9,OJ,2.0,27.172857142857154,3.7271428571428444,0.09285714285714289,0.02350536335271369
57,26.4,OJ,2.0,27.172857142857154,-0.7728571428571556,0.09285714285714289,0.0010106792305368448
58,27.3,OJ,2.0,27.172857142857154,0.12714285714284657,0.09285714285714289,2.73526132037295e-05
59,29.4,OJ,2.0,27.172857142857154,2.2271428571428444,0.09285714285714289,0.00839288053175407
60,23.0,OJ,2.0,27.172857142857154,-4.172857142857154,0.09285714285714289,0.02946333642646665
