kaynak_satir,kaynak_kayit,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,A1_t,C4_t,C5_t,A_n,A_ort5,A_ort4,A_top5,C_n,C_ort5,C_ort4,C_top5
30,61673,4,5.0,6,5,5,5.0,5,3.0,5,4,3,2,3,5,4.8,4.8,24.0,5,3.6,3.6,18.0
31,61678,1,6.0,5,6,3,5.0,5,5.0,4,3,6,3,4,5,5.2,5.2,26.0,5,4.4,4.4,22.0
32,61679,2,5.0,6,6,6,5.0,5,5.0,2,4,5,5,3,5,5.6,5.6,28.0,5,4.6,4.6,23.0
33,61682,1,5.0,6,5,4,1.0,5,6.0,4,6,6,3,1,5,5.2,5.2,26.0,5,3.2,3.2,16.0
34,61683,2,4.0,5,6,5,4.0,6,4.0,2,4,5,5,3,5,5.0,5.0,25.0,5,4.4,4.4,22.0
35,61684,4,4.0,4,4,4,4.0,3,3.0,3,4,3,4,3,5,3.8,3.8,19.0,5,3.4,3.4,17.0
36,61685,5,3.0,5,4,2,2.0,2,4.0,3,4,2,4,3,5,3.2,3.2,16.0,5,3.0,3.0,15.0
37,61686,1,6.0,4,6,4,5.0,6,3.0,1,5,6,6,2,5,5.2,5.2,26.0,5,4.4,4.4,22.0
38,61687,1,4.0,4,2,3,6.0,5,6.0,3,4,6,4,3,5,3.8,3.8,19.0,5,4.8,4.8,24.0
39,61688,1,6.0,6,6,6,6.0,6,6.0,1,1,6,6,6,5,6.0,6.0,30.0,5,6.0,6.0,30.0
40,61691,1,5.0,4,3,5,6.0,5,5.0,2,2,6,5,5,5,4.6,4.6,23.0,5,5.2,5.2,26.0
41,61692,1,5.0,5,6,5,4.0,4,4.0,3,4,6,4,3,5,5.4,5.4,27.0,5,3.8,3.8,19.0
42,61693,5,4.0,3,6,4,5.0,2,5.0,2,4,2,5,3,5,3.8,3.8,19.0,5,4.0,4.0,20.0
43,61696,1,5.0,4,4,5,4.0,5,4.0,3,3,6,4,4,5,4.8,4.8,24.0,5,4.2,4.2,21.0
44,61698,5,6.0,4,3,5,5.0,3,3.0,4,5,2,3,2,5,4.0,4.0,20.0,5,3.2,3.2,16.0
45,61700,2,6.0,6,6,6,5.0,4,5.0,3,4,5,4,3,5,5.8,5.8,29.0,5,4.2,4.2,21.0
46,61701,1,6.0,6,6,6,5.0,2,1.0,2,1,6,5,6,5,6.0,6.0,30.0,5,3.8,3.8,19.0
47,61702,5,5.0,3,4,3,4.0,4,3.0,4,5,2,3,2,5,3.4,3.4,17.0,5,3.2,3.2,16.0
48,61703,2,6.0,4,5,5,3.0,2,3.0,4,6,5,3,1,5,5.0,5.0,25.0,5,2.4,2.4,12.0
49,61713,1,5.0,3,2,3,3.0,6,3.0,1,3,6,6,4,5,3.8,3.8,19.0,5,4.4,4.4,22.0
50,61715,1,6.0,6,6,6,5.0,5,4.0,1,2,6,6,5,5,6.0,6.0,30.0,5,5.0,5.0,25.0
51,61716,1,6.0,6,6,4,4.0,3,1.0,4,2,6,3,5,5,5.6,5.6,28.0,5,3.2,3.2,16.0
52,61723,1,5.0,6,5,4,6.0,6,6.0,6,2,6,1,5,5,5.2,5.2,26.0,5,4.8,4.8,24.0
53,61724,3,6.0,4,4,4,5.0,5,3.0,2,5,4,5,2,5,4.4,4.4,22.0,5,4.0,4.0,20.0
54,61725,4,3.0,5,6,3,5.0,6,2.0,5,2,3,2,5,5,4.0,4.0,20.0,5,4.0,4.0,20.0
55,61728,1,6.0,6,6,6,6.0,5,5.0,2,2,6,5,5,5,6.0,6.0,30.0,5,5.2,5.2,26.0
56,61730,1,4.0,3,5,5,5.0,5,4.0,4,5,6,3,2,5,4.6,4.6,23.0,5,3.8,3.8,19.0
57,61731,1,4.0,2,2,2,5.0,5,5.0,5,1,6,2,6,5,3.2,3.2,16.0,5,4.6,4.6,23.0
58,61732,3,4.0,5,2,4,5.0,4,5.0,2,4,4,5,3,5,3.8,3.8,19.0,5,4.4,4.4,22.0
59,61740,1,6.0,5,4,4,6.0,6,6.0,1,4,6,6,3,5,5.0,5.0,25.0,5,5.4,5.4,27.0
60,61742,3,3.0,5,4,5,6.0,4,4.0,2,2,4,5,5,5,4.2,4.2,21.0,5,4.8,4.8,24.0
61,61748,2,3.0,4,4,5,5.0,3,2.0,4,6,5,3,1,5,4.2,4.2,21.0,5,2.8,2.8,14.0
62,61749,2,4.0,4,5,3,5.0,5,4.0,3,4,5,4,3,5,4.2,4.2,21.0,5,4.2,4.2,21.0
63,61754,1,4.0,6,6,6,,6,6.0,2,3,6,5,4,5,5.6,5.6,28.0,4,,5.25,
64,61756,4,5.0,3,5,4,6.0,5,5.0,2,2,3,5,5,5,4.0,4.0,20.0,5,5.2,5.2,26.0
65,61757,2,6.0,6,6,6,4.0,6,6.0,1,4,5,6,3,5,5.8,5.8,29.0,5,5.0,5.0,25.0
66,61759,2,,4,6,4,5.0,4,5.0,2,1,5,5,6,4,,4.75,,5,5.0,5.0,25.0
67,61761,1,5.0,4,2,5,1.0,2,2.0,2,6,6,5,1,5,4.4,4.4,22.0,5,2.2,2.2,11.0
68,61762,4,3.0,2,2,2,4.0,2,2.0,4,5,3,3,2,5,2.4,2.4,12.0,5,2.6,2.6,13.0
69,61763,2,3.0,4,5,6,5.0,5,4.0,2,2,5,5,5,5,4.6,4.6,23.0,5,4.8,4.8,24.0
70,61764,1,6.0,6,3,6,6.0,5,6.0,1,4,6,6,3,5,5.4,5.4,27.0,5,5.2,5.2,26.0
71,61771,4,5.0,6,6,4,4.0,6,6.0,1,2,3,6,5,5,4.8,4.8,24.0,5,5.4,5.4,27.0
72,61772,2,4.0,6,2,5,2.0,4,4.0,1,1,5,6,6,5,4.4,4.4,22.0,5,4.4,4.4,22.0
73,61773,4,4.0,4,5,3,5.0,4,6.0,2,4,3,5,3,5,3.8,3.8,19.0,5,4.6,4.6,23.0
74,61775,1,5.0,5,5,4,5.0,5,5.0,1,2,6,6,5,5,5.0,5.0,25.0,5,5.2,5.2,26.0
75,61776,3,5.0,5,5,4,5.0,5,5.0,1,1,4,6,6,5,4.6,4.6,23.0,5,5.4,5.4,27.0
76,61777,2,5.0,5,6,5,5.0,4,6.0,3,2,5,4,5,5,5.2,5.2,26.0,5,4.8,4.8,24.0
77,61778,2,6.0,6,6,6,5.0,4,5.0,1,2,5,6,5,5,5.8,5.8,29.0,5,5.0,5.0,25.0
78,61780,5,6.0,6,6,5,5.0,5,6.0,3,4,2,4,3,5,5.0,5.0,25.0,5,4.6,4.6,23.0
79,61782,1,2.0,2,4,2,2.0,4,2.0,5,1,6,2,6,5,3.2,3.2,16.0,5,3.2,3.2,16.0
80,61783,2,5.0,5,5,5,4.0,2,3.0,5,4,5,2,3,5,5.0,5.0,25.0,5,2.8,2.8,14.0
81,61784,1,5.0,6,5,3,6.0,5,4.0,4,3,6,3,4,5,5.0,5.0,25.0,5,4.4,4.4,22.0
82,61788,1,6.0,3,3,1,6.0,6,5.0,1,6,6,6,1,5,3.8,3.8,19.0,5,4.8,4.8,24.0
83,61789,1,4.0,6,2,6,3.0,3,4.0,4,5,6,3,2,5,4.8,4.8,24.0,5,3.0,3.0,15.0
84,61793,1,6.0,6,5,6,5.0,6,5.0,1,1,6,6,6,5,5.8,5.8,29.0,5,5.6,5.6,28.0
85,61794,1,6.0,5,2,6,4.0,5,5.0,2,3,6,5,4,5,5.0,5.0,25.0,5,4.6,4.6,23.0
86,61797,4,4.0,4,6,5,2.0,5,4.0,4,3,3,3,4,5,4.4,4.4,22.0,5,3.6,3.6,18.0
87,61798,1,5.0,5,5,5,4.0,4,5.0,2,2,6,5,5,5,5.2,5.2,26.0,5,4.6,4.6,23.0
88,61801,1,6.0,5,4,6,4.0,5,4.0,4,5,6,3,2,5,5.4,5.4,27.0,5,3.6,3.6,18.0
89,61808,1,6.0,4,6,4,4.0,4,5.0,2,4,6,5,3,5,5.2,5.2,26.0,5,4.2,4.2,21.0
90,61812,3,4.0,5,5,4,3.0,3,,3,3,4,4,4,5,4.4,4.4,22.0,4,,3.5,
91,61813,1,5.0,5,5,5,5.0,2,4.0,1,2,6,6,5,5,5.2,5.2,26.0,5,4.4,4.4,22.0
92,61816,1,5.0,6,2,5,5.0,4,5.0,3,4,6,4,3,5,4.8,4.8,24.0,5,4.2,4.2,21.0
93,61818,2,4.0,5,4,5,2.0,2,3.0,4,4,5,3,3,5,4.6,4.6,23.0,5,2.6,2.6,13.0
94,61819,1,6.0,6,3,6,6.0,6,5.0,1,1,6,6,6,5,5.4,5.4,27.0,5,5.8,5.8,29.0
95,61821,2,6.0,4,6,4,4.0,5,6.0,3,1,5,4,6,5,5.0,5.0,25.0,5,5.0,5.0,25.0
96,61822,2,3.0,3,4,3,5.0,6,4.0,1,4,5,6,3,5,3.6,3.6,18.0,5,4.8,4.8,24.0
97,61825,3,1.0,2,2,2,2.0,1,2.0,6,6,4,1,1,5,2.2,2.2,11.0,5,1.4,1.4,7.0
98,61826,1,4.0,5,5,6,6.0,4,4.0,1,1,6,6,6,5,5.2,5.2,26.0,5,5.2,5.2,26.0
99,61829,4,3.0,2,6,5,4.0,5,6.0,2,6,3,5,1,5,3.8,3.8,19.0,5,4.2,4.2,21.0
100,61831,2,6.0,2,3,4,4.0,2,5.0,3,5,5,4,2,5,4.0,4.0,20.0,5,3.4,3.4,17.0
