kaynak_satir,kaynak_kayit,madde,yanit
64,61756,A2,5.0
65,61757,A2,6.0
66,61759,A2,
67,61761,A2,5.0
68,61762,A2,3.0
69,61763,A2,3.0
70,61764,A2,6.0
71,61771,A2,5.0
72,61772,A2,4.0
73,61773,A2,4.0
74,61775,A2,5.0
75,61776,A2,5.0
76,61777,A2,5.0
77,61778,A2,6.0
78,61780,A2,6.0
79,61782,A2,2.0
80,61783,A2,5.0
81,61784,A2,5.0
82,61788,A2,6.0
83,61789,A2,4.0
84,61793,A2,6.0
85,61794,A2,6.0
86,61797,A2,4.0
87,61798,A2,5.0
88,61801,A2,6.0
89,61808,A2,6.0
90,61812,A2,4.0
91,61813,A2,5.0
92,61816,A2,5.0
93,61818,A2,4.0
94,61819,A2,6.0
95,61821,A2,6.0
96,61822,A2,3.0
97,61825,A2,1.0
98,61826,A2,4.0
99,61829,A2,3.0
100,61831,A2,6.0
1,61617,A3,3.0
2,61618,A3,5.0
3,61620,A3,5.0
4,61621,A3,6.0
5,61622,A3,3.0
6,61623,A3,5.0
7,61624,A3,5.0
8,61629,A3,1.0
9,61630,A3,6.0
10,61633,A3,6.0
11,61634,A3,5.0
12,61636,A3,5.0
13,61637,A3,5.0
14,61639,A3,5.0
15,61640,A3,2.0
16,61643,A3,6.0
17,61650,A3,6.0
18,61651,A3,5.0
19,61653,A3,5.0
20,61654,A3,6.0
21,61656,A3,2.0
22,61659,A3,6.0
23,61661,A3,6.0
24,61664,A3,5.0
25,61667,A3,5.0
26,61668,A3,6.0
27,61669,A3,4.0
28,61670,A3,6.0
29,61672,A3,1.0
30,61673,A3,6.0
31,61678,A3,5.0
32,61679,A3,6.0
33,61682,A3,6.0
34,61683,A3,5.0
35,61684,A3,4.0
36,61685,A3,5.0
37,61686,A3,4.0
38,61687,A3,4.0
39,61688,A3,6.0
40,61691,A3,4.0
41,61692,A3,5.0
42,61693,A3,3.0
43,61696,A3,4.0
44,61698,A3,4.0
45,61700,A3,6.0
46,61701,A3,6.0
47,61702,A3,3.0
48,61703,A3,4.0
49,61713,A3,3.0
50,61715,A3,6.0
51,61716,A3,6.0
52,61723,A3,6.0
53,61724,A3,4.0
54,61725,A3,5.0
55,61728,A3,6.0
56,61730,A3,3.0
57,61731,A3,2.0
58,61732,A3,5.0
59,61740,A3,5.0
60,61742,A3,5.0
61,61748,A3,4.0
62,61749,A3,4.0
63,61754,A3,6.0
64,61756,A3,3.0
65,61757,A3,6.0
66,61759,A3,4.0
67,61761,A3,4.0
68,61762,A3,2.0
69,61763,A3,4.0
70,61764,A3,6.0
71,61771,A3,6.0
72,61772,A3,6.0
73,61773,A3,4.0
74,61775,A3,5.0
75,61776,A3,5.0
76,61777,A3,5.0
77,61778,A3,6.0
78,61780,A3,6.0
79,61782,A3,2.0
80,61783,A3,5.0
81,61784,A3,6.0
82,61788,A3,3.0
83,61789,A3,6.0
84,61793,A3,6.0
85,61794,A3,5.0
86,61797,A3,4.0
87,61798,A3,5.0
88,61801,A3,5.0
89,61808,A3,4.0
90,61812,A3,5.0
91,61813,A3,5.0
92,61816,A3,6.0
93,61818,A3,5.0
94,61819,A3,6.0
95,61821,A3,4.0
96,61822,A3,3.0
97,61825,A3,2.0
98,61826,A3,5.0
99,61829,A3,2.0
100,61831,A3,2.0
1,61617,A4,4.0
2,61618,A4,2.0
3,61620,A4,4.0
4,61621,A4,5.0
5,61622,A4,4.0
6,61623,A4,6.0
7,61624,A4,3.0
8,61629,A4,5.0
9,61630,A4,3.0
10,61633,A4,6.0
11,61634,A4,6.0
12,61636,A4,5.0
13,61637,A4,6.0
14,61639,A4,6.0
15,61640,A4,2.0
16,61643,A4,6.0
17,61650,A4,2.0
18,61651,A4,4.0
19,61653,A4,4.0
20,61654,A4,5.0
21,61656,A4,1.0
22,61659,A4,1.0
23,61661,A4,5.0
24,61664,A4,6.0
25,61667,A4,6.0
26,61668,A4,1.0
27,61669,A4,4.0
28,61670,A4,6.0
29,61672,A4,3.0
30,61673,A4,5.0
31,61678,A4,6.0
32,61679,A4,6.0
33,61682,A4,5.0
34,61683,A4,6.0
35,61684,A4,4.0
36,61685,A4,4.0
37,61686,A4,6.0
38,61687,A4,2.0
39,61688,A4,6.0
40,61691,A4,3.0
41,61692,A4,6.0
42,61693,A4,6.0
43,61696,A4,4.0
44,61698,A4,3.0
45,61700,A4,6.0
46,61701,A4,6.0
47,61702,A4,4.0
48,61703,A4,5.0
49,61713,A4,2.0
50,61715,A4,6.0
51,61716,A4,6.0
52,61723,A4,5.0
53,61724,A4,4.0
54,61725,A4,6.0
55,61728,A4,6.0
56,61730,A4,5.0
57,61731,A4,2.0
58,61732,A4,2.0
59,61740,A4,4.0
60,61742,A4,4.0
61,61748,A4,4.0
62,61749,A4,5.0
63,61754,A4,6.0
64,61756,A4,5.0
65,61757,A4,6.0
66,61759,A4,6.0
67,61761,A4,2.0
68,61762,A4,2.0
69,61763,A4,5.0
70,61764,A4,3.0
71,61771,A4,6.0
72,61772,A4,2.0
73,61773,A4,5.0
74,61775,A4,5.0
75,61776,A4,5.0
76,61777,A4,6.0
77,61778,A4,6.0
78,61780,A4,6.0
79,61782,A4,4.0
80,61783,A4,5.0
81,61784,A4,5.0
82,61788,A4,3.0
83,61789,A4,2.0
84,61793,A4,5.0
85,61794,A4,2.0
86,61797,A4,6.0
87,61798,A4,5.0
88,61801,A4,4.0
89,61808,A4,6.0
90,61812,A4,5.0
91,61813,A4,5.0
92,61816,A4,2.0
93,61818,A4,4.0
94,61819,A4,3.0
95,61821,A4,6.0
96,61822,A4,4.0
97,61825,A4,2.0
98,61826,A4,5.0
99,61829,A4,6.0
100,61831,A4,3.0
1,61617,A5,4.0
2,61618,A5,5.0
3,61620,A5,4.0
4,61621,A5,5.0
5,61622,A5,5.0
6,61623,A5,5.0
7,61624,A5,5.0
8,61629,A5,1.0
9,61630,A5,3.0
10,61633,A5,5.0
11,61634,A5,5.0
12,61636,A5,5.0
13,61637,A5,4.0
14,61639,A5,6.0
15,61640,A5,1.0
16,61643,A5,3.0
17,61650,A5,5.0
18,61651,A5,5.0
19,61653,A5,3.0
20,61654,A5,5.0
21,61656,A5,2.0
22,61659,A5,5.0
23,61661,A5,6.0
24,61664,A5,5.0
25,61667,A5,5.0
26,61668,A5,6.0
27,61669,A5,3.0
28,61670,A5,6.0
29,61672,A5,5.0
30,61673,A5,5.0
31,61678,A5,3.0
32,61679,A5,6.0
33,61682,A5,4.0
34,61683,A5,5.0
35,61684,A5,4.0
36,61685,A5,2.0
37,61686,A5,4.0
38,61687,A5,3.0
39,61688,A5,6.0
40,61691,A5,5.0
41,61692,A5,5.0
42,61693,A5,4.0
43,61696,A5,5.0
44,61698,A5,5.0
45,61700,A5,6.0
46,61701,A5,6.0
47,61702,A5,3.0
48,61703,A5,5.0
49,61713,A5,3.0
50,61715,A5,6.0
51,61716,A5,4.0
52,61723,A5,4.0
53,61724,A5,4.0
54,61725,A5,3.0
55,61728,A5,6.0
56,61730,A5,5.0
57,61731,A5,2.0
58,61732,A5,4.0
59,61740,A5,4.0
60,61742,A5,5.0
61,61748,A5,5.0
62,61749,A5,3.0
63,61754,A5,6.0
64,61756,A5,4.0
65,61757,A5,6.0
66,61759,A5,4.0
67,61761,A5,5.0
68,61762,A5,2.0
69,61763,A5,6.0
70,61764,A5,6.0
71,61771,A5,4.0
72,61772,A5,5.0
73,61773,A5,3.0
74,61775,A5,4.0
75,61776,A5,4.0
76,61777,A5,5.0
77,61778,A5,6.0
78,61780,A5,5.0
79,61782,A5,2.0
80,61783,A5,5.0
81,61784,A5,3.0
82,61788,A5,1.0
83,61789,A5,6.0
84,61793,A5,6.0
85,61794,A5,6.0
86,61797,A5,5.0
87,61798,A5,5.0
88,61801,A5,6.0
89,61808,A5,4.0
90,61812,A5,4.0
91,61813,A5,5.0
92,61816,A5,5.0
93,61818,A5,5.0
94,61819,A5,6.0
95,61821,A5,4.0
96,61822,A5,3.0
97,61825,A5,2.0
98,61826,A5,6.0
99,61829,A5,5.0
100,61831,A5,4.0
1,61617,C1,2.0
2,61618,C1,5.0
3,61620,C1,4.0
4,61621,C1,4.0
5,61622,C1,4.0
6,61623,C1,6.0
7,61624,C1,5.0
8,61629,C1,3.0
9,61630,C1,6.0
10,61633,C1,6.0
11,61634,C1,4.0
12,61636,C1,5.0
13,61637,C1,5.0
14,61639,C1,4.0
15,61640,C1,5.0
16,61643,C1,5.0
17,61650,C1,4.0
18,61651,C1,5.0
19,61653,C1,5.0
20,61654,C1,1.0
21,61656,C1,4.0
22,61659,C1,5.0
23,61661,C1,4.0
24,61664,C1,3.0
25,61667,C1,5.0
26,61668,C1,5.0
27,61669,C1,6.0
28,61670,C1,4.0
29,61672,C1,5.0
30,61673,C1,5.0
31,61678,C1,5.0
32,61679,C1,5.0
33,61682,C1,1.0
34,61683,C1,4.0
35,61684,C1,4.0
36,61685,C1,2.0
37,61686,C1,5.0
38,61687,C1,6.0
39,61688,C1,6.0
40,61691,C1,6.0
41,61692,C1,4.0
42,61693,C1,5.0
43,61696,C1,4.0
44,61698,C1,5.0
45,61700,C1,5.0
46,61701,C1,5.0
47,61702,C1,4.0
48,61703,C1,3.0
49,61713,C1,3.0
50,61715,C1,5.0
51,61716,C1,4.0
52,61723,C1,6.0
53,61724,C1,5.0
54,61725,C1,5.0
55,61728,C1,6.0
56,61730,C1,5.0
57,61731,C1,5.0
58,61732,C1,5.0
59,61740,C1,6.0
60,61742,C1,6.0
61,61748,C1,5.0
62,61749,C1,5.0
63,61754,C1,
64,61756,C1,6.0
65,61757,C1,4.0
66,61759,C1,5.0
67,61761,C1,1.0
68,61762,C1,4.0
69,61763,C1,5.0
70,61764,C1,6.0
71,61771,C1,4.0
72,61772,C1,2.0
73,61773,C1,5.0
74,61775,C1,5.0
75,61776,C1,5.0
76,61777,C1,5.0
77,61778,C1,5.0
78,61780,C1,5.0
79,61782,C1,2.0
80,61783,C1,4.0
81,61784,C1,6.0
82,61788,C1,6.0
83,61789,C1,3.0
84,61793,C1,5.0
85,61794,C1,4.0
86,61797,C1,2.0
87,61798,C1,4.0
88,61801,C1,4.0
89,61808,C1,4.0
90,61812,C1,3.0
91,61813,C1,5.0
92,61816,C1,5.0
93,61818,C1,2.0
94,61819,C1,6.0
95,61821,C1,4.0
96,61822,C1,5.0
97,61825,C1,2.0
98,61826,C1,6.0
99,61829,C1,4.0
100,61831,C1,4.0
1,61617,C2,3.0
2,61618,C2,4.0
3,61620,C2,5.0
4,61621,C2,4.0
5,61622,C2,4.0
6,61623,C2,6.0
7,61624,C2,4.0
8,61629,C2,2.0
9,61630,C2,6.0
10,61633,C2,5.0
11,61634,C2,3.0
12,61636,C2,4.0
13,61637,C2,4.0
14,61639,C2,4.0
15,61640,C2,5.0
16,61643,C2,5.0
17,61650,C2,4.0
18,61651,C2,5.0
19,61653,C2,4.0
20,61654,C2,1.0
21,61656,C2,6.0
22,61659,C2,4.0
23,61661,C2,3.0
24,61664,C2,5.0
25,61667,C2,5.0
26,61668,C2,2.0
27,61669,C2,5.0
28,61670,C2,5.0
29,61672,C2,4.0
30,61673,C2,5.0
31,61678,C2,5.0
32,61679,C2,5.0
33,61682,C2,5.0
34,61683,C2,6.0
35,61684,C2,3.0
36,61685,C2,2.0
37,61686,C2,6.0
38,61687,C2,5.0
39,61688,C2,6.0
40,61691,C2,5.0
41,61692,C2,4.0
42,61693,C2,2.0
43,61696,C2,5.0
44,61698,C2,3.0
45,61700,C2,4.0
46,61701,C2,2.0
47,61702,C2,4.0
48,61703,C2,2.0
49,61713,C2,6.0
50,61715,C2,5.0
51,61716,C2,3.0
52,61723,C2,6.0
53,61724,C2,5.0
54,61725,C2,6.0
55,61728,C2,5.0
56,61730,C2,5.0
57,61731,C2,5.0
58,61732,C2,4.0
59,61740,C2,6.0
60,61742,C2,4.0
61,61748,C2,3.0
62,61749,C2,5.0
63,61754,C2,6.0
64,61756,C2,5.0
65,61757,C2,6.0
66,61759,C2,4.0
67,61761,C2,2.0
68,61762,C2,2.0
69,61763,C2,5.0
70,61764,C2,5.0
71,61771,C2,6.0
72,61772,C2,4.0
73,61773,C2,4.0
74,61775,C2,5.0
75,61776,C2,5.0
76,61777,C2,4.0
77,61778,C2,4.0
78,61780,C2,5.0
79,61782,C2,4.0
80,61783,C2,2.0
81,61784,C2,5.0
82,61788,C2,6.0
83,61789,C2,3.0
84,61793,C2,6.0
85,61794,C2,5.0
86,61797,C2,5.0
87,61798,C2,4.0
88,61801,C2,5.0
89,61808,C2,4.0
90,61812,C2,3.0
91,61813,C2,2.0
92,61816,C2,4.0
93,61818,C2,2.0
94,61819,C2,6.0
95,61821,C2,5.0
96,61822,C2,6.0
97,61825,C2,1.0
98,61826,C2,4.0
99,61829,C2,5.0
100,61831,C2,2.0
1,61617,C3,3.0
2,61618,C3,4.0
3,61620,C3,4.0
4,61621,C3,3.0
5,61622,C3,5.0
6,61623,C3,6.0
7,61624,C3,4.0
8,61629,C3,4.0
9,61630,C3,3.0
10,61633,C3,6.0
11,61634,C3,5.0
12,61636,C3,5.0
13,61637,C3,3.0
14,61639,C3,4.0
15,61640,C3,5.0
16,61643,C3,5.0
17,61650,C3,4.0
18,61651,C3,5.0
19,61653,C3,5.0
20,61654,C3,1.0
21,61656,C3,5.0
22,61659,C3,4.0
23,61661,C3,2.0
24,61664,C3,6.0
25,61667,C3,4.0
26,61668,C3,5.0
27,61669,C3,6.0
28,61670,C3,4.0
29,61672,C3,5.0
30,61673,C3,3.0
31,61678,C3,5.0
32,61679,C3,5.0
33,61682,C3,6.0
34,61683,C3,4.0
35,61684,C3,3.0
36,61685,C3,4.0
37,61686,C3,3.0
38,61687,C3,6.0
39,61688,C3,6.0
40,61691,C3,5.0
41,61692,C3,4.0
42,61693,C3,5.0
43,61696,C3,4.0
44,61698,C3,3.0
45,61700,C3,5.0
46,61701,C3,1.0
47,61702,C3,3.0
48,61703,C3,3.0
49,61713,C3,3.0
50,61715,C3,4.0
51,61716,C3,1.0
52,61723,C3,6.0
53,61724,C3,3.0
54,61725,C3,2.0
55,61728,C3,5.0
56,61730,C3,4.0
57,61731,C3,5.0
58,61732,C3,5.0
59,61740,C3,6.0
60,61742,C3,4.0
61,61748,C3,2.0
62,61749,C3,4.0
63,61754,C3,6.0
64,61756,C3,5.0
65,61757,C3,6.0
66,61759,C3,5.0
67,61761,C3,2.0
68,61762,C3,2.0
69,61763,C3,4.0
70,61764,C3,6.0
71,61771,C3,6.0
72,61772,C3,4.0
73,61773,C3,6.0
74,61775,C3,5.0
75,61776,C3,5.0
76,61777,C3,6.0
77,61778,C3,5.0
78,61780,C3,6.0
79,61782,C3,2.0
80,61783,C3,3.0
81,61784,C3,4.0
82,61788,C3,5.0
83,61789,C3,4.0
84,61793,C3,5.0
85,61794,C3,5.0
86,61797,C3,4.0
87,61798,C3,5.0
88,61801,C3,4.0
89,61808,C3,5.0
90,61812,C3,
91,61813,C3,4.0
92,61816,C3,5.0
93,61818,C3,3.0
94,61819,C3,5.0
95,61821,C3,6.0
96,61822,C3,4.0
97,61825,C3,2.0
98,61826,C3,4.0
99,61829,C3,6.0
100,61831,C3,5.0
1,61617,C4,4.0
2,61618,C4,3.0
3,61620,C4,2.0
4,61621,C4,5.0
5,61622,C4,3.0
6,61623,C4,1.0
7,61624,C4,2.0
8,61629,C4,2.0
9,61630,C4,4.0
10,61633,C4,2.0
11,61634,C4,3.0
12,61636,C4,4.0
13,61637,C4,2.0
14,61639,C4,2.0
15,61640,C4,2.0
16,61643,C4,3.0
17,61650,C4,4.0
18,61651,C4,4.0
19,61653,C4,4.0
20,61654,C4,5.0
21,61656,C4,5.0
22,61659,C4,2.0
23,61661,C4,4.0
24,61664,C4,3.0
25,61667,C4,1.0
26,61668,C4,1.0
27,61669,C4,1.0
28,61670,C4,3.0
29,61672,C4,2.0
30,61673,C4,5.0
31,61678,C4,4.0
32,61679,C4,2.0
33,61682,C4,4.0
34,61683,C4,2.0
35,61684,C4,3.0
36,61685,C4,3.0
37,61686,C4,1.0
38,61687,C4,3.0
39,61688,C4,1.0
40,61691,C4,2.0
41,61692,C4,3.0
42,61693,C4,2.0
43,61696,C4,3.0
44,61698,C4,4.0
45,61700,C4,3.0
46,61701,C4,2.0
47,61702,C4,4.0
48,61703,C4,4.0
49,61713,C4,1.0
50,61715,C4,1.0
51,61716,C4,4.0
52,61723,C4,6.0
53,61724,C4,2.0
54,61725,C4,5.0
55,61728,C4,2.0
56,61730,C4,4.0
57,61731,C4,5.0
58,61732,C4,2.0
59,61740,C4,1.0
60,61742,C4,2.0
61,61748,C4,4.0
62,61749,C4,3.0
63,61754,C4,2.0
64,61756,C4,2.0
65,61757,C4,1.0
66,61759,C4,2.0
67,61761,C4,2.0
68,61762,C4,4.0
69,61763,C4,2.0
70,61764,C4,1.0
71,61771,C4,1.0
72,61772,C4,1.0
73,61773,C4,2.0
74,61775,C4,1.0
75,61776,C4,1.0
76,61777,C4,3.0
77,61778,C4,1.0
78,61780,C4,3.0
79,61782,C4,5.0
80,61783,C4,5.0
81,61784,C4,4.0
82,61788,C4,1.0
83,61789,C4,4.0
84,61793,C4,1.0
85,61794,C4,2.0
86,61797,C4,4.0
87,61798,C4,2.0
88,61801,C4,4.0
89,61808,C4,2.0
90,61812,C4,3.0
91,61813,C4,1.0
92,61816,C4,3.0
93,61818,C4,4.0
94,61819,C4,1.0
95,61821,C4,3.0
96,61822,C4,1.0
97,61825,C4,6.0
98,61826,C4,1.0
99,61829,C4,2.0
100,61831,C4,3.0
1,61617,C5,4.0
2,61618,C5,4.0
3,61620,C5,5.0
4,61621,C5,5.0
5,61622,C5,2.0
6,61623,C5,3.0
7,61624,C5,3.0
8,61629,C5,4.0
9,61630,C5,5.0
10,61633,C5,1.0
11,61634,C5,2.0
12,61636,C5,5.0
13,61637,C5,2.0
14,61639,C5,1.0
15,61640,C5,2.0
16,61643,C5,5.0
17,61650,C5,4.0
18,61651,C5,3.0
19,61653,C5,6.0
20,61654,C5,6.0
21,61656,C5,4.0
22,61659,C5,3.0
23,61661,C5,5.0
24,61664,C5,6.0
25,61667,C5,1.0
26,61668,C5,1.0
27,61669,C5,1.0
28,61670,C5,4.0
29,61672,C5,5.0
30,61673,C5,4.0
31,61678,C5,3.0
32,61679,C5,4.0
33,61682,C5,6.0
34,61683,C5,4.0
35,61684,C5,4.0
36,61685,C5,4.0
37,61686,C5,5.0
38,61687,C5,4.0
39,61688,C5,1.0
40,61691,C5,2.0
41,61692,C5,4.0
42,61693,C5,4.0
43,61696,C5,3.0
44,61698,C5,5.0
45,61700,C5,4.0
46,61701,C5,1.0
47,61702,C5,5.0
48,61703,C5,6.0
49,61713,C5,3.0
50,61715,C5,2.0
51,61716,C5,2.0
52,61723,C5,2.0
53,61724,C5,5.0
54,61725,C5,2.0
55,61728,C5,2.0
56,61730,C5,5.0
57,61731,C5,1.0
58,61732,C5,4.0
59,61740,C5,4.0
60,61742,C5,2.0
61,61748,C5,6.0
62,61749,C5,4.0
63,61754,C5,3.0
64,61756,C5,2.0
65,61757,C5,4.0
66,61759,C5,1.0
67,61761,C5,6.0
68,61762,C5,5.0
69,61763,C5,2.0
70,61764,C5,4.0
71,61771,C5,2.0
72,61772,C5,1.0
73,61773,C5,4.0
74,61775,C5,2.0
75,61776,C5,1.0
76,61777,C5,2.0
77,61778,C5,2.0
78,61780,C5,4.0
79,61782,C5,1.0
80,61783,C5,4.0
81,61784,C5,3.0
82,61788,C5,6.0
83,61789,C5,5.0
84,61793,C5,1.0
85,61794,C5,3.0
86,61797,C5,3.0
87,61798,C5,2.0
88,61801,C5,5.0
89,61808,C5,4.0
90,61812,C5,3.0
91,61813,C5,2.0
92,61816,C5,4.0
93,61818,C5,4.0
94,61819,C5,1.0
95,61821,C5,1.0
96,61822,C5,4.0
97,61825,C5,6.0
98,61826,C5,1.0
99,61829,C5,6.0
100,61831,C5,5.0
