kayit,x,araci,w,y_aracilik,y_duzenleyicilik,x_c,w_c
52,-0.4921468374,-2.2763008253,-0.949337585,-1.0674187827,0.6576602838,-0.34414717220937496,-1.059940514783125
53,-0.6724788949,-0.6545983926,-0.0432987108,0.348912873,-0.9179657657,-0.524479229709375,-0.153901640583125
54,-0.1546769906,0.0546864852,0.1480432985,-1.3408205793,-0.5136095032,-0.00667732540937499,0.037440368716875005
55,-1.0843913175,-1.4251884797,0.7302249875,-0.2824572575,-1.1571744911,-0.9363916523093749,0.619622057716875
56,0.2554829967,0.9889625083,0.6222101566,0.8919573816,-0.4526455719,0.40348266189062504,0.511607226816875
57,2.4018764485,1.9095697225,0.0670055493,1.2472831256,0.5254489923,2.549876113690625,-0.043597380483125
58,-0.3920652538,0.8370917184,0.4290867092,-0.0718022162,0.1255111921,-0.244065588609375,0.318483779416875
59,-0.4750502351,0.7556195714,-0.6238561035,0.8246319369,0.1869202719,-0.327050569909375,-0.734459033283125
60,-2.4826677261,-0.544114275,2.0920050404,-0.5417979807,-3.1221842703,-2.334668060909375,1.981402110616875
61,0.1036233171,1.8236613447,0.3874738316,1.8817939694,0.5868715191,0.251622982290625,0.276870901816875
62,0.9674005598,1.2081963373,0.2484059059,0.1401043094,-0.1011095811,1.115400224990625,0.137802976116875
63,-0.2115587811,0.481197186,1.2743820316,-0.3163473643,0.3740584504,-0.06355911590937499,1.163779101816875
64,0.1884425806,-0.1735855528,0.4043120388,-0.5552971342,-1.1759153792,0.336442245790625,0.29370910901687497
65,2.0558361718,0.4349374971,-0.9366009647,1.0934662394,0.054116371,2.203835836990625,-1.047203894483125
66,-1.2898716749,-0.9830486441,-0.0439769823,-0.603434202,-0.175460539,-1.141872009709375,-0.154579912083125
67,-0.1747590229,1.1219290295,-1.4867276694,2.407774854,-0.7296178725,-0.026759357709374987,-1.597330599183125
68,2.8300642288,1.5545796156,0.7782455938,1.574636851,2.2534152464,2.978063893990625,0.667642664016875
69,-1.4994744956,-0.9508748647,-0.4780109993,-0.0913870952,0.6647822849,-1.3514748304093749,-0.588613929083125
70,-2.5372808172,-0.6586208908,-0.5209900196,-0.5477988175,-0.4215351623,-2.3892811520093753,-0.631592949383125
71,0.1861503821,0.9940855859,0.2783637899,1.0819862062,-0.656319174,0.33415004729062503,0.167760860116875
72,0.6040593253,-1.0768276074,1.9204070442,-0.0853563522,1.2707033427,0.752058990490625,1.809804114416875
73,0.2482845036,-0.2609825225,0.726601624,1.7627470718,-0.0983014021,0.396284168790625,0.6159986942168749
74,1.5397717751,2.2455919806,-1.0906382229,0.9412946688,-0.3808089024,1.687771440290625,-1.201241152683125
75,-1.550958791,-0.1065351099,-0.6628476373,-0.7041406206,0.3317804789,-1.402959125809375,-0.773450567083125
76,-0.4864085778,0.4961273735,1.632553323,-0.2510041512,-0.6734633953,-0.338408912609375,1.521950393216875
77,-0.5268679451,0.1813067212,-0.175203562,1.5567597912,-0.755369494,-0.378868279909375,-0.285806491783125
78,2.2544564655,1.9198937378,1.1021711651,1.5875490821,2.6843525984,2.4024561306906254,0.9915682353168749
79,-1.0137599856,-0.2937716831,0.4830360117,-1.0175853356,-1.8269177727,-0.8657603204093749,0.37243308191687496
80,1.4184521655,1.5734994719,0.0696398875,2.5652051824,1.1054063973,1.566451830690625,-0.040963042283125
81,-0.3590086156,-0.3359198917,0.7979027638,-1.1749116822,-0.4867030143,-0.211008950409375,0.687299834016875
82,-0.0764004515,-0.7627303273,0.3330125795,0.3965522975,0.6092263376,0.07159921369062502,0.22240964971687502
83,1.3449858835,0.8344936846,-0.8762941828,0.5204311217,-1.5588696123,1.492985548690625,-0.9868971125831251
84,-1.4980378822,-1.1535574664,-0.522446672,-0.3433254034,2.1117273649,-1.350038217009375,-0.633049601783125
85,-0.0374196847,0.1910678683,-1.9975654272,-0.1016327439,-0.1761282515,0.11057998049062502,-2.108168356983125
86,0.5492220897,-0.3759829578,0.3592080686,-0.6175243156,0.9029453885,0.697221754890625,0.248605138816875
87,0.6518668533,0.9822041081,0.4282262536,1.3296364958,-0.0913109716,0.7998665184906251,0.31762332381687497
88,1.2841185341,0.5176700591,-0.912152326,0.6163433767,-1.8728009224,1.4321181992906251,-1.022755255783125
89,-1.3462461615,-0.9924260009,-0.3731748513,-1.4049489634,-0.3098966496,-1.198246496309375,-0.48377778108312497
90,0.2311203272,-0.9392655095,0.9131897973,-1.1138729816,1.1399153333,0.379119992390625,0.802586867516875
91,1.7563758183,0.7092791103,-0.8388311302,0.5272509295,-0.1426276768,1.904375483490625,-0.949434059983125
92,-0.7123835097,0.38135697,-2.0504603351,1.3111782525,1.6913132976,-0.564383844509375,-2.1610632648831247
93,0.1728534639,-0.7623036124,-0.2106142517,-3.0794789244,1.3391523447,0.320853129090625,-0.321217181483125
94,0.7012842739,1.4660778759,-0.2146620006,1.3346564065,-0.9770627167,0.849283939090625,-0.325264930383125
95,-0.1842145681,1.838327962,0.8323010899,1.900640413,0.5198519474,-0.036214902909374985,0.7216981601168749
96,-0.1469776023,-0.4853279971,0.2643107115,-1.6090494927,1.0298619389,0.0010220628906250084,0.15370778171687502
97,-0.9004274189,-0.9039416919,1.383338105,-0.4072378894,-0.5227816412,-0.752427753709375,1.272735175216875
98,0.5074925421,1.6092458969,0.058452359,-0.2343730307,-0.4338493097,0.6554922072906251,-0.052150570783124996
99,-0.1003012294,-0.2422410293,1.1023657346,-2.29039472,-2.5834719643,0.04769843579062502,0.991762804816875
100,-0.5272100171,-1.3811251462,0.7187144923,0.242520732,1.3415347387,-0.379210351909375,0.6081115625168749
101,0.3778461828,1.1769474524,0.9814452038,1.1571371077,1.2728383809,0.525845847990625,0.870842274016875
102,0.4497244701,-0.9995629884,1.7912219539,-0.5991551976,0.2628269015,0.5977241352906251,1.680619024116875
103,-0.6183825168,0.2358714408,0.0406694609,0.0586376517,-0.6812384494,-0.470382851609375,-0.06993346888312499
104,-0.5821187547,0.741258146,0.4644143277,-1.1142481014,0.3998752574,-0.43411908950937494,0.353811397916875
105,1.7893214426,0.2277693173,-0.2155384898,0.1931072903,1.6461723311,1.937321107790625,-0.32614141958312504
106,1.3800068201,2.3244840151,2.5643782552,1.1340102386,4.059997952,1.528006485290625,2.453775325416875
107,-0.367323461,1.8025007474,-0.4278331711,0.0943005567,1.2427691261,-0.219323795809375,-0.538436100883125
108,1.2349120617,0.6739503364,0.3589896482,1.0651989024,-0.4856810616,1.382911726890625,0.248386718416875
109,-0.6512700188,-0.3336588728,1.2716783709,0.3990298038,-1.4835211765,-0.503270353609375,1.1610754411168749
110,-0.1017864193,0.0057406545,-0.6827472723,0.480839861,0.7218937895,0.04621324589062502,-0.793350202083125
111,-1.1272902644,-2.1795548463,0.0679344122,-2.7795508796,-1.5573598637,-0.979290599209375,-0.042668517583124996
112,-1.8926298576,-1.881073868,1.2515103805,-1.2097037414,-0.2727208239,-1.744630192409375,1.140907450716875
113,-0.5990343409,1.1520230772,0.6786318762,0.0539241163,0.3683693579,-0.45103467570937494,0.568028946416875
114,-2.1185316466,-1.9324058769,2.3984417716,-3.4534448941,-4.0835670592,-1.9705319814093751,2.287838841816875
115,0.8010172839,0.9275884618,-0.3525887602,-0.281877231,0.0618150194,0.9490169490906251,-0.463191689983125
116,-1.6835160753,-1.4159552571,-1.3750849904,0.8508390399,-0.041184654,-1.535516410109375,-1.485687920183125
117,0.72226039,1.7028705289,0.1097453521,2.5248232601,0.5661295453,0.870260055190625,-0.0008575776831249993
118,1.0800948278,1.717261708,0.3511806991,2.6023225956,0.5005417655,1.228094492990625,0.240577769316875
119,-0.6874577989,-0.9541118411,1.182716534,2.225539575,0.6398116018,-0.539458133709375,1.072113604216875
120,-0.500745345,-0.3334325384,-0.8761581888,-1.6986301717,-0.8313281732,-0.352745679809375,-0.986761118583125
121,1.3161811496,1.2477549895,1.0740983458,2.9498611785,1.5881014922,1.464180814790625,0.9634954160168749
122,-1.3236224496,-2.2994622782,0.8790912372,-1.9668428723,-1.5489275901,-1.175622784409375,0.768488307416875
123,0.4509791887,-1.309678897,1.1748027898,-4.128866182,0.9788117475,0.598978853890625,1.064199860016875
124,-0.8417586284,-2.5899969368,-1.2110201236,-2.7300213524,1.4557019111,-0.693758963209375,-1.321623053383125
125,-0.063989089,-0.9477706255,1.5187080456,1.3124921951,1.0260056884,0.08401057619062502,1.408105115816875
126,0.1433510044,0.5024249668,-0.62544364,0.3397386492,0.8165100798,0.29135066959062506,-0.736046569783125
127,-0.0164310746,0.8249241844,1.6272457069,1.1421340748,1.1800748521,0.131568590590625,1.516642777116875
128,-2.1570716706,0.1651029855,0.2520409057,-0.9344868412,-3.0190604664,-2.009072005409375,0.141437975916875
129,0.4215120875,1.0711106344,-0.8577249484,1.2553368154,0.838975737,0.569511752690625,-0.968327878183125
130,-0.7372923385,-0.8189044669,1.2602996033,-2.485497974,0.8526456101,-0.589292673309375,1.149696673516875
131,-0.5464493876,-1.2045310369,-0.1374589702,-0.312585306,-0.8732486673,-0.39844972240937493,-0.248061899983125
132,-0.334376821,-0.093503687,1.6225974182,0.954782649,0.1885358148,-0.18637715580937497,1.511994488416875
133,-1.3089672109,0.0302036514,-2.1630117029,-1.1706547862,-1.3217378183,-1.1609675457093749,-2.273614632683125
134,-0.4421059104,-0.0532320927,-0.2043724196,-1.4328662778,-0.7265308978,-0.294106245209375,-0.314975349383125
135,-0.4510029796,1.0646819533,-0.5867383094,0.2062135726,-0.3490049089,-0.303003314409375,-0.6973412391831251
136,-1.1711227482,-1.3373001972,0.1427268416,-1.3656587357,0.7439947873,-1.023123083009375,0.03212391181687499
137,-1.0391666239,0.1296732834,-1.1023143911,1.3117724961,0.3450933043,-0.8911669587093749,-1.212917320883125
138,-0.4559061304,-1.34514114,-0.5292507264,-0.77064641,0.4081761107,-0.307906465209375,-0.6398536561831251
139,-1.0203430953,-0.4678991517,-0.4562780422,0.0116993232,0.0664702717,-0.8723434301093749,-0.566880971983125
140,-1.650965865,-2.1687084752,1.5458740082,-2.3448626112,-3.6043124757,-1.502966199809375,1.435271078416875
141,0.7744638905,0.2139929622,1.8902726856,0.4538217132,0.9612119791,0.922463555690625,1.779669755816875
142,-0.5027351797,-0.6304597092,-1.1675914935,-1.5483823434,0.5320640828,-0.354735514509375,-1.278194423283125
143,-0.4710437876,0.9791889772,0.2119168509,1.0754902621,-0.5289988877,-0.32304412240937497,0.10131392111687501
144,0.3795533535,-0.0664208533,0.6464587629,0.0845008706,0.526436121,0.527553018690625,0.535855833116875
145,-0.8036268131,-0.223031682,0.1080312623,0.2952032542,-1.4206038705,-0.6556271479093749,-0.002571667483124998
146,0.2167591605,-1.8193318853,-0.1395970488,-3.2289805061,-0.9482807225,0.364758825690625,-0.25019997858312504
147,1.036739168,0.9350255845,1.2163950977,1.7213212209,1.0408981601,1.184738833190625,1.105792167916875
148,-0.6567567155,-0.2802971337,-0.6959284852,-1.5826070462,0.2704342305,-0.508757050309375,-0.806531414983125
149,-0.2586853124,-0.8206924237,-1.2450419054,-0.3317843997,1.6930340878,-0.11068564720937496,-1.355644835183125
150,0.902882835,0.355355881,1.05088155,1.1935350808,1.1564000042,1.050882500190625,0.9402786202168749
151,0.4544364618,-1.4114859267,2.6240827282,-1.8856110096,3.0834268611,0.6024361269906251,2.513479798416875
152,0.6048580318,-1.2394066671,-1.3088890123,-1.1625170547,-1.1064956017,0.752857696990625,-1.4194919420831251
153,-1.9252031132,-0.4993821345,0.0191476175,-1.4298590584,-1.4937154984,-1.777203448009375,-0.091455312283125
154,0.4922796876,-0.1598649488,0.3088746698,0.0524348758,-1.0978506911,0.640279352790625,0.198271740016875
155,-0.3116904166,-0.756458044,1.6071208354,0.0863522281,0.4078574793,-0.163690751409375,1.496517905616875
156,1.1362192323,0.0059492166,-1.832640345,0.8728952142,-1.0982909835,1.284218897490625,-1.943243274783125
157,0.2815795929,-0.0225670114,1.2627740252,0.4723821992,0.1284497072,0.429579258090625,1.152171095416875
158,-2.0726086304,-2.7498011814,0.5944562782,-3.2472399463,-1.1577833943,-1.924608965209375,0.483853348416875
159,0.3261029072,-1.5317021498,0.2432348052,-2.2379242863,-0.9327260422,0.47410257239062503,0.132631875416875
160,1.2778194725,0.3810925702,1.334606612,1.2808978465,1.5194940782,1.425819137690625,1.224003682216875
