kayit,x,araci,w,y_aracilik,y_duzenleyicilik
26,-0.7964645204,0.1439477502,-1.2470315208,0.5544078019,-1.1456116592
27,-0.2066644727,0.0814452892,0.4892369686,1.3603899998,-1.0364756053
28,-1.4176711100,-2.4641791293,0.5972257549,-1.8044905436,-1.0811086049
29,-1.0867091701,-0.6284730013,-0.4868299908,0.4363719133,-0.9435570129
30,-0.4578577496,-1.2890624817,0.9354541019,-0.2791082591,0.9732434030
31,0.1718493073,-0.7993503106,-1.8552957329,-0.7755760436,0.4247373177
32,-0.0202371011,0.6094906089,-2.4956645149,-0.6231868496,0.1669499373
33,-0.6296531982,-0.6142180685,0.8887403451,-0.1645916656,-0.6517322505
34,-0.6436727032,-0.6856326594,-0.4062081702,0.7323318857,1.5139019491
35,-0.3726400377,-0.3196056199,0.3260474439,1.6292091627,-0.5936525664
36,-0.6558975320,-0.8122242784,1.2422161672,-1.0087064594,-0.0579917221
37,-0.7893024896,-0.5249983598,0.2201146291,-2.0982819645,0.9452250813
38,0.1677052786,-1.1834390236,-1.7421592443,-0.1928820087,-2.6169938809
39,0.5577638115,1.3139084234,-0.0934678896,1.5496806038,1.4371154882
40,-0.7483177590,-1.2000406955,0.2781334289,-1.4557527068,-0.5970425349
41,-0.1994372921,0.2784337208,-0.4775855387,0.2019552020,-0.1511658609
42,-1.1440502087,-0.7470773516,-1.4803712404,-0.7312721911,1.5430804145
43,0.8981755744,-0.7383983970,-0.1435561053,-1.3385138656,-0.9047080760
44,0.5677664658,-0.1161611078,-0.4937464492,0.9420579171,0.9444718777
45,1.2489160815,1.3019200398,0.2179562466,0.3161469441,-0.1601884969
46,0.8941087458,0.2381932273,-0.1872382888,1.1291908452,0.8868932383
47,0.5146693199,-0.0759318560,-1.0205168755,1.3197129682,1.9437412427
48,-0.4797079806,-0.5624341332,-0.3015653410,-0.6773188826,-0.1208225589
49,-0.8241195735,-1.4916229865,-0.0996747366,-1.6189721084,1.2497784991
50,1.2366215005,0.2513927036,0.7963472092,1.0077661782,-1.0916533908
51,0.6559106493,-0.7548403090,0.3839919398,-1.9514117428,0.5527371612
52,-0.4921468374,-2.2763008253,-0.9493375850,-1.0674187827,0.6576602838
53,-0.6724788949,-0.6545983926,-0.0432987108,0.3489128730,-0.9179657657
54,-0.1546769906,0.0546864852,0.1480432985,-1.3408205793,-0.5136095032
55,-1.0843913175,-1.4251884797,0.7302249875,-0.2824572575,-1.1571744911
56,0.2554829967,0.9889625083,0.6222101566,0.8919573816,-0.4526455719
57,2.4018764485,1.9095697225,0.0670055493,1.2472831256,0.5254489923
58,-0.3920652538,0.8370917184,0.4290867092,-0.0718022162,0.1255111921
59,-0.4750502351,0.7556195714,-0.6238561035,0.8246319369,0.1869202719
60,-2.4826677261,-0.5441142750,2.0920050404,-0.5417979807,-3.1221842703
61,0.1036233171,1.8236613447,0.3874738316,1.8817939694,0.5868715191
62,0.9674005598,1.2081963373,0.2484059059,0.1401043094,-0.1011095811
63,-0.2115587811,0.4811971860,1.2743820316,-0.3163473643,0.3740584504
64,0.1884425806,-0.1735855528,0.4043120388,-0.5552971342,-1.1759153792
65,2.0558361718,0.4349374971,-0.9366009647,1.0934662394,0.0541163710
66,-1.2898716749,-0.9830486441,-0.0439769823,-0.6034342020,-0.1754605390
67,-0.1747590229,1.1219290295,-1.4867276694,2.4077748540,-0.7296178725
68,2.8300642288,1.5545796156,0.7782455938,1.5746368510,2.2534152464
69,-1.4994744956,-0.9508748647,-0.4780109993,-0.0913870952,0.6647822849
70,-2.5372808172,-0.6586208908,-0.5209900196,-0.5477988175,-0.4215351623
71,0.1861503821,0.9940855859,0.2783637899,1.0819862062,-0.6563191740
72,0.6040593253,-1.0768276074,1.9204070442,-0.0853563522,1.2707033427
73,0.2482845036,-0.2609825225,0.7266016240,1.7627470718,-0.0983014021
74,1.5397717751,2.2455919806,-1.0906382229,0.9412946688,-0.3808089024
75,-1.5509587910,-0.1065351099,-0.6628476373,-0.7041406206,0.3317804789
76,-0.4864085778,0.4961273735,1.6325533230,-0.2510041512,-0.6734633953
77,-0.5268679451,0.1813067212,-0.1752035620,1.5567597912,-0.7553694940
78,2.2544564655,1.9198937378,1.1021711651,1.5875490821,2.6843525984
79,-1.0137599856,-0.2937716831,0.4830360117,-1.0175853356,-1.8269177727
80,1.4184521655,1.5734994719,0.0696398875,2.5652051824,1.1054063973
81,-0.3590086156,-0.3359198917,0.7979027638,-1.1749116822,-0.4867030143
82,-0.0764004515,-0.7627303273,0.3330125795,0.3965522975,0.6092263376
83,1.3449858835,0.8344936846,-0.8762941828,0.5204311217,-1.5588696123
84,-1.4980378822,-1.1535574664,-0.5224466720,-0.3433254034,2.1117273649
85,-0.0374196847,0.1910678683,-1.9975654272,-0.1016327439,-0.1761282515
86,0.5492220897,-0.3759829578,0.3592080686,-0.6175243156,0.9029453885
87,0.6518668533,0.9822041081,0.4282262536,1.3296364958,-0.0913109716
88,1.2841185341,0.5176700591,-0.9121523260,0.6163433767,-1.8728009224
89,-1.3462461615,-0.9924260009,-0.3731748513,-1.4049489634,-0.3098966496
90,0.2311203272,-0.9392655095,0.9131897973,-1.1138729816,1.1399153333
91,1.7563758183,0.7092791103,-0.8388311302,0.5272509295,-0.1426276768
92,-0.7123835097,0.3813569700,-2.0504603351,1.3111782525,1.6913132976
93,0.1728534639,-0.7623036124,-0.2106142517,-3.0794789244,1.3391523447
94,0.7012842739,1.4660778759,-0.2146620006,1.3346564065,-0.9770627167
95,-0.1842145681,1.8383279620,0.8323010899,1.9006404130,0.5198519474
96,-0.1469776023,-0.4853279971,0.2643107115,-1.6090494927,1.0298619389
97,-0.9004274189,-0.9039416919,1.3833381050,-0.4072378894,-0.5227816412
98,0.5074925421,1.6092458969,0.0584523590,-0.2343730307,-0.4338493097
99,-0.1003012294,-0.2422410293,1.1023657346,-2.2903947200,-2.5834719643
100,-0.5272100171,-1.3811251462,0.7187144923,0.2425207320,1.3415347387
101,0.3778461828,1.1769474524,0.9814452038,1.1571371077,1.2728383809
102,0.4497244701,-0.9995629884,1.7912219539,-0.5991551976,0.2628269015
103,-0.6183825168,0.2358714408,0.0406694609,0.0586376517,-0.6812384494
104,-0.5821187547,0.7412581460,0.4644143277,-1.1142481014,0.3998752574
105,1.7893214426,0.2277693173,-0.2155384898,0.1931072903,1.6461723311
106,1.3800068201,2.3244840151,2.5643782552,1.1340102386,4.0599979520
107,-0.3673234610,1.8025007474,-0.4278331711,0.0943005567,1.2427691261
108,1.2349120617,0.6739503364,0.3589896482,1.0651989024,-0.4856810616
109,-0.6512700188,-0.3336588728,1.2716783709,0.3990298038,-1.4835211765
110,-0.1017864193,0.0057406545,-0.6827472723,0.4808398610,0.7218937895
111,-1.1272902644,-2.1795548463,0.0679344122,-2.7795508796,-1.5573598637
112,-1.8926298576,-1.8810738680,1.2515103805,-1.2097037414,-0.2727208239
113,-0.5990343409,1.1520230772,0.6786318762,0.0539241163,0.3683693579
114,-2.1185316466,-1.9324058769,2.3984417716,-3.4534448941,-4.0835670592
115,0.8010172839,0.9275884618,-0.3525887602,-0.2818772310,0.0618150194
116,-1.6835160753,-1.4159552571,-1.3750849904,0.8508390399,-0.0411846540
117,0.7222603900,1.7028705289,0.1097453521,2.5248232601,0.5661295453
118,1.0800948278,1.7172617080,0.3511806991,2.6023225956,0.5005417655
119,-0.6874577989,-0.9541118411,1.1827165340,2.2255395750,0.6398116018
120,-0.5007453450,-0.3334325384,-0.8761581888,-1.6986301717,-0.8313281732
121,1.3161811496,1.2477549895,1.0740983458,2.9498611785,1.5881014922
122,-1.3236224496,-2.2994622782,0.8790912372,-1.9668428723,-1.5489275901
123,0.4509791887,-1.3096788970,1.1748027898,-4.1288661820,0.9788117475
124,-0.8417586284,-2.5899969368,-1.2110201236,-2.7300213524,1.4557019111
125,-0.0639890890,-0.9477706255,1.5187080456,1.3124921951,1.0260056884
126,0.1433510044,0.5024249668,-0.6254436400,0.3397386492,0.8165100798
127,-0.0164310746,0.8249241844,1.6272457069,1.1421340748,1.1800748521
128,-2.1570716706,0.1651029855,0.2520409057,-0.9344868412,-3.0190604664
129,0.4215120875,1.0711106344,-0.8577249484,1.2553368154,0.8389757370
130,-0.7372923385,-0.8189044669,1.2602996033,-2.4854979740,0.8526456101
131,-0.5464493876,-1.2045310369,-0.1374589702,-0.3125853060,-0.8732486673
132,-0.3343768210,-0.0935036870,1.6225974182,0.9547826490,0.1885358148
133,-1.3089672109,0.0302036514,-2.1630117029,-1.1706547862,-1.3217378183
134,-0.4421059104,-0.0532320927,-0.2043724196,-1.4328662778,-0.7265308978
135,-0.4510029796,1.0646819533,-0.5867383094,0.2062135726,-0.3490049089
136,-1.1711227482,-1.3373001972,0.1427268416,-1.3656587357,0.7439947873
137,-1.0391666239,0.1296732834,-1.1023143911,1.3117724961,0.3450933043
138,-0.4559061304,-1.3451411400,-0.5292507264,-0.7706464100,0.4081761107
139,-1.0203430953,-0.4678991517,-0.4562780422,0.0116993232,0.0664702717
140,-1.6509658650,-2.1687084752,1.5458740082,-2.3448626112,-3.6043124757
141,0.7744638905,0.2139929622,1.8902726856,0.4538217132,0.9612119791
142,-0.5027351797,-0.6304597092,-1.1675914935,-1.5483823434,0.5320640828
143,-0.4710437876,0.9791889772,0.2119168509,1.0754902621,-0.5289988877
144,0.3795533535,-0.0664208533,0.6464587629,0.0845008706,0.5264361210
145,-0.8036268131,-0.2230316820,0.1080312623,0.2952032542,-1.4206038705
146,0.2167591605,-1.8193318853,-0.1395970488,-3.2289805061,-0.9482807225
147,1.0367391680,0.9350255845,1.2163950977,1.7213212209,1.0408981601
148,-0.6567567155,-0.2802971337,-0.6959284852,-1.5826070462,0.2704342305
149,-0.2586853124,-0.8206924237,-1.2450419054,-0.3317843997,1.6930340878
150,0.9028828350,0.3553558810,1.0508815500,1.1935350808,1.1564000042
151,0.4544364618,-1.4114859267,2.6240827282,-1.8856110096,3.0834268611
152,0.6048580318,-1.2394066671,-1.3088890123,-1.1625170547,-1.1064956017
153,-1.9252031132,-0.4993821345,0.0191476175,-1.4298590584,-1.4937154984
154,0.4922796876,-0.1598649488,0.3088746698,0.0524348758,-1.0978506911
155,-0.3116904166,-0.7564580440,1.6071208354,0.0863522281,0.4078574793
156,1.1362192323,0.0059492166,-1.8326403450,0.8728952142,-1.0982909835
157,0.2815795929,-0.0225670114,1.2627740252,0.4723821992,0.1284497072
158,-2.0726086304,-2.7498011814,0.5944562782,-3.2472399463,-1.1577833943
159,0.3261029072,-1.5317021498,0.2432348052,-2.2379242863,-0.9327260422
160,1.2778194725,0.3810925702,1.3346066120,1.2808978465,1.5194940782
